DCL2    ND2R5B -0.05000  3.68000
CLDR1   ND2R5E -0.12500  3.68000
DCL2    ND2R5E -0.05000  3.68000
CLDR1   ND2R6A -0.12500  3.68000
DCL2    ND2R6A -0.05000  3.68000
CLDR1   ND2R6B -0.12500  3.68000
DCL2    ND2R6B -0.05000  3.68000
CLDR1   ND2R6C -0.18000  3.87000
DCL2    ND2R6C -0.10000  3.69000
CLDR1   ND2P1A -0.28000  3.78000
CLDR1   ND3P3A -0.26000  3.76000
CLDR1   OD2C1A -0.30000  3.32000
DCL2    OD2C1A -0.10000  3.32000
CLDR1   OD2C1B -0.30000  3.32000
DCL2    OD2C1B -0.10000  3.32000
CLDR1   OD2C1C -0.30000  3.32000
DCL2    OD2C1C -0.10000  3.32000
CLDR1   OD2C1D -0.30000  3.32000
DCL2    OD2C1D -0.10000  3.32000
CLDR1   OD2C2A -0.13500  3.49000
DCL2    OD2C2A -0.13000  3.49000
CLDR1   OD2C2B -0.13500  3.49000
DCL2    OD2C2B -0.13000  3.49000
CLDR1   OD2C2C -0.13500  3.49000
DCL2    OD2C2C -0.13000  3.49000
CLDR1   OD2C3A -0.30000  3.32000
DCL2    OD2C3A -0.10000  3.32000
CLDR1   OD2C3B -0.30000  3.32000
DCL2    OD2C3B -0.10000  3.32000
CLDR1   OD31A  -0.06000  3.56000
DCL2    OD31A  -0.10500  3.56000
CLDR1   OD31B  -0.06000  3.56000
DCL2    OD31B  -0.10500  3.56000
CLDR1   OD31C  -0.13700  3.49000
DCL2    OD31C  -0.11200  3.49000
CLDR1   OD31E  -0.06000  3.56000
DCL2    OD31E  -0.10500  3.56000
CLDR1   OD31F  -0.06000  3.56000
DCL2    OD31F  -0.10500  3.56000
CLDR1   OD31G  -0.06000  3.56000
DCL2    OD31G  -0.10500  3.56000
CLDR1   SD31A  -0.23000  3.81000
DCL2    SD31A  -0.30000  3.81000
CLDR1   SD31B  -0.23000  3.81000
DCL2    SD31B  -0.30000  3.81000
CLDA1   ND2A1  -0.30000  3.70000
CLDA3   ND2A1  -0.10000  3.86000
DCL3    ND2A1  -0.10000  3.70000
CLDA1   ND2A2  -0.35000  3.55000
CLDA3   ND2A2  -0.45000  3.58000
DCL3    ND2A2  -0.10000  3.68000
CLDA1   ND2B1  -0.30000  3.70000
CLDA3   ND2B1  -0.10000  3.86000
DCL3    ND2B1  -0.10000  3.70000
CLDA1   ND2R5A -0.13000  3.75000
CLDA3   ND2R5A -0.18500  3.92000
DCL3    ND2R5A -0.05600  3.85000
CLDA1   ND2R5B -0.12500  3.68000
CLDA3   ND2R5B -0.02000  3.93000
DCL3    ND2R5B -0.05000  3.90000
CLDA1   ND2R5E -0.12500  3.68000
CLDA3   ND2R5E -0.02000  3.93000
DCL3    ND2R5E -0.05000  3.90000
CLDA1   ND2R6A -0.12500  3.68000
CLDA3   ND2R6A -0.02000  3.93000
DCL3    ND2R6A -0.05000  3.90000
CLDA1   ND2R6B -0.12500  3.68000
CLDA3   ND2R6B -0.02000  3.93000
DCL3    ND2R6B -0.05000  3.90000
CLDA1   ND2R6C -0.35000  3.55000
CLDA3   ND2R6C -0.45000  3.58000
DCL3    ND2R6C -0.10000  3.68000
CLDA1   ND2P1A -0.28000  3.78000
CLDA1   ND3P3A -0.13000  3.73000
CLDA1   OD2C1A -0.30000  3.10000
CLDA3   OD2C1A -0.10000  3.26000
DCL3    OD2C1A -0.25000  3.48000
CLDA1   OD2C2A -0.13500  3.49000
DCL3    OD2C2A -0.13000  3.49000
CLDA1   OD2C1B -0.30000  3.10000
